Make,Model,Type,Origin,DriveTrain,MSRP,Invoice,EngineSize,Cylinders,Horsepower,MPG_City,MPG_Highway,Weight,Wheelbase,Length
Pontiac,Vibe,Wagon,USA,Rear,"$17,045","$15,973",1.8,4,130,11,7,2701,102,172
Scion,xA 4dr hatch,Sedan,Asia,Front,"$12,965","$12,340",1.5,4,108,9,5,2340,93,154
Scion,xB,Wagon,Asia,Front,"$14,165","$13,480",1.5,4,108,9,5,2425,98,155
Suzuki,Forenza S 4dr,Sedan,Asia,Front,"$12,269","$12,116",2,4,119,10,6,2701,102,177
Suzuki,Forenza EX 4dr,Sedan,Asia,Front,"$15,568","$15,378",2,4,119,10,6,2756,102,177
Toyota,Echo 2dr manual,Sedan,Asia,Front,"$10,760","$10,144",1.5,4,108,9,5,2035,93,163
Toyota,Echo 2dr auto,Sedan,Asia,Front,"$11,560","$10,896",1.5,4,108,9,6,2085,93,163
Toyota,Echo 4dr,Sedan,Asia,Front,"$11,290","$10,642",1.5,4,108,8,6,2055,93,163
Toyota,Prius 4dr (gas/electric),Hybrid,Asia,Front,"$20,510","$18,926",1.5,4,110,8,6,2890,106,175
Toyota,Corolla CE 4dr,Sedan,Asia,Front,"$14,085","$13,065",1.8,4,130,12,8,2502,102,178
Toyota,Corolla S 4dr,Sedan,Asia,Front,"$15,030","$13,650",1.8,4,130,12,8,2524,102,178
Toyota,Corolla LE 4dr,Sedan,Asia,Front,"$15,295","$13,889",1.8,4,130,12,8,2524,102,178
Volkswagen,Jetta GLS TDI 4dr,Sedan,Europe,Front,"$21,055","$19,638",1.9,4,100,10,8,3003,99,172
Volkswagen,Golf GLS 4dr,Sedan,Europe,Front,"$18,715","$17,478",2,4,115,10,8,2897,99,165
Volkswagen,New Beetle GLS convertible 2dr,Sedan,Europe,Front,"$23,215","$21,689",2,4,115,9,7,3082,99,161
Volkswagen,Jetta GL,Wagon,Europe,Front,"$19,005","$17,427",2,4,115,9,7,3034,99,174
Toyota,Matrix XR,Wagon,Asia,Front,"$16,695","$15,156",1.8,4,130,12,10,2679,102,171
Dodge,Neon SE 4dr,Sedan,USA,Front,"$13,670","$12,849",2,4,132,11,9,2581,105,174
Dodge,Neon SXT 4dr,Sedan,USA,Front,"$15,040","$14,086",2,4,132,11,9,2626,105,174
Hyundai,Elantra GLS 4dr,Sedan,Asia,Front,"$13,839","$12,781",2,4,138,11,9,2635,103,178
Hyundai,Elantra GT 4dr,Sedan,Asia,Front,"$15,389","$14,207",2,4,138,11,9,2635,103,178
Hyundai,Elantra GT 4dr hatch,Sedan,Asia,Front,"$15,389","$14,207",2,4,138,10,8,2698,103,178
Kia,Optima LX 4dr,Sedan,Asia,Front,"$16,040","$14,910",2.4,4,138,12,10,3281,106,186
Toyota,MR2 Spyder convertible 2dr,Sports,Asia,Rear,"$25,130","$22,787",1.8,4,138,12,10,2195,97,153
Chevrolet,Cavalier 2dr,Sedan,USA,Front,"$14,610","$13,697",2.2,4,140,13,10,2617,104,183
Chevrolet,Cavalier 4dr,Sedan,USA,Front,"$14,810","$13,884",2.2,4,140,13,10,2676,104,183
Chevrolet,Cavalier LS 2dr,Sedan,USA,Front,"$16,385","$15,357",2.2,4,140,13,10,2617,104,183
Oldsmobile,Alero GX 2dr,Sedan,USA,Front,"$18,825","$17,642",2.2,4,140,13,10,2946,107,187
Pontiac,Sunfire 1SA 2dr,Sedan,USA,Front,"$15,495","$14,375",2.2,4,140,13,10,2771,104,182
Pontiac,Sunfire 1SC 2dr,Sedan,USA,Front,"$17,735","$16,369",2.2,4,140,13,10,2771,104,182
Saturn,Ion1 4dr,Sedan,USA,Front,"$10,995","$10,319",2.2,4,140,13,10,2692,103,185
Saturn,lon2 4dr,Sedan,USA,Front,"$14,300","$13,393",2.2,4,140,13,10,2692,103,185
Saturn,lon3 4dr,Sedan,USA,Front,"$15,825","$14,811",2.2,4,140,13,10,2692,103,185
Saturn,lon2 quad coupe 2dr,Sedan,USA,Front,"$14,850","$13,904",2.2,4,140,14,11,2751,103,185
Saturn,lon3 quad coupe 2dr,Sedan,USA,Front,"$16,350","$15,299",2.2,4,140,13,10,2751,103,185
Saturn,L300 2,Wagon,USA,Front,"$23,560","$21,779",2.2,4,140,13,10,3109,107,190
Mazda,MX-5 Miata convertible 2dr,Sports,Asia,Rear,"$22,388","$20,701",1.8,4,142,11,9,2387,89,156
Mazda,MX-5 Miata LS convertible 2dr,Sports,Asia,Rear,"$25,193","$23,285",1.8,4,142,11,9,2387,89,156
Toyota,Tacoma,Truck,Asia,Rear,"$12,800","$11,879",2.4,4,142,12,10,2750,103,191
Ford,Ranger 2.3 XL Regular Cab,Truck,USA,Rear,"$14,385","$13,717",2.3,4,143,13,10,3028,111,188
Mazda,B2300 SX Regular Cab,Truck,Asia,Rear,"$14,840","$14,070",2.3,4,143,13,10,2960,112,188
Saturn,VUE,SUV,USA,All,"$20,585","$19,238",2.2,4,143,14,11,3381,107,181
Chevrolet,Malibu 4dr,Sedan,USA,Front,"$18,995","$17,434",2.2,4,145,14,11,3174,106,188
Mazda,Mazda3 i 4dr,Sedan,Asia,Front,"$15,500","$14,525",2,4,148,12,10,2696,104,178
,,,,,,,,,,,,,,
Chrysler,PT Cruiser 4dr,Sedan,USA,Front,"$17,985","$16,919",2.4,4,150,12,10,3101,103,169
Chrysler,PT Cruiser Limited 4dr,Sedan,USA,Front,"$22,000","$20,573",2.4,4,150,12,10,3105,103,169
Chrysler,Sebring 4dr,Sedan,USA,Front,"$19,090","$17,805",2.4,4,150,13,10,3173,108,191
Chrysler,Sebring convertible 2dr,Sedan,USA,Front,"$25,215","$23,451",2.4,4,150,13,10,3357,106,194
Dodge,Stratus SXT 4dr,Sedan,USA,Front,"$18,820","$17,512",2.4,4,150,13,10,3182,108,191
Dodge,Stratus SE 4dr,Sedan,USA,Front,"$20,220","$18,821",2.4,4,150,13,10,3175,108,191
Dodge,Caravan SE,Sedan,USA,Front,"$21,795","$20,508",2.4,4,150,13,10,3862,113,189
Jeep,Liberty Sport,SUV,USA,All,"$20,130","$18,973",2.4,4,150,13,10,3826,104,174
Volkswagen,New Beetle GLS 1.8T 2dr,Sedan,Europe,Front,"$21,055","$19,638",1.8,4,150,8,6,2820,99,161
Ford,Taurus LX 4dr,Sedan,USA,Front,"$20,320","$18,881",3,6,155,12,10,3306,109,198
Ford,Taurus SE,Wagon,USA,Front,"$22,290","$20,457",3,6,155,12,10,3497,109,198
Mercury,Sable GS 4dr,Sedan,USA,Front,"$21,595","$19,848",3,6,155,12,10,3308,109,200
Mercury,Sable GS,Wagon,USA,Front,"$22,595","$20,748",3,6,155,12,10,3488,109,198
Suzuki,Aeno S 4dr,Sedan,Asia,Front,"$12,884","$12,719",2.3,4,155,14,11,2676,98,171
Suzuki,Aerio LX 4dr,Sedan,Asia,Front,"$14,500","$14,317",2.3,4,155,14,11,2676,98,171
Suzuki,Verona LX 4dr,Sedan,Asia,Front,"$17,262","$17,053",2.5,6,155,15,12,3380,106,188
Suzuki,Aerio SX,Wagon,Asia,All,"$16,497","$16,291",2.3,4,155,14,11,2932,98,167
Toyota,Camry LE 4dr,Sedan,Asia,Front,"$19,560","$17,558",2.4,4,157,13,10,3086,107,189
Toyota,Camry Solara SE 2dr,Sedan,Asia,Front,"$19,635","$17,722",2.4,4,157,14,11,3175,107,193
Honda,CR-V LX,SUV,Asia,All,"$19,860","$18,419",2.4,4,160,14,11,3258,103,179
Honda,Element LX,SUV,Asia,All,"$18,690","$17,334",2.4,4,160,14,11,3468,101,167
Honda,Accord LX 2dr,Sedan,Asia,Front,"$19,860","$17,924",2.4,4,160,14,11,2994,105,188
Honda,Accord EX 2dr,Sedan,Asia,Front,"$22,260","$20,080",2.4,4,160,14,11,3047,105,188
Honda,Civic Si 2dr hatch,Sedan,Asia,Front,"$19,490","$17,849",2,4,160,11,9,2782,101,166
Mazda,Mazda3 s 4dr,Sedan,Asia,Front,"$17,200","$15,922",2.3,4,160,14,11,2762,104,179
Mazda,Mazda6 i 4dr,Sedan,Asia,Front,"$19,270","$17,817",2.3,4,160,14,11,3042,105,187
Mitsubishi,Outlander LS,SUV,Asia,Front,"$18,892","$17,569",2.4,4,160,15,12,3240,103,179
Mitsubishi,Galant ES 2.4L 4dr,Sedan,Asia,Front,"$19,312","$17,957",2.4,4,160,15,12,3351,108,191
Mitsubishi,Lancer Sportback LS,Wagon,Asia,Front,"$17,495","$16,295",2.4,4,160,15,12,3020,102,181
Toyota,RAV4,SUV,Asia,All,"$20,290","$18,553",2.4,4,161,15,12,3119,98,167
MINI,Cooper S,Sedan,Europe,Front,"$19,999","$18,137",1.6,4,163,12,10,2678,97,144
Chevrolet,Tracker,SUV,USA,Front,"$20,255","$19,108",2.5,6,165,14,11,2866,98,163
Nissan,Sentra SE-R 4dr,Sedan,Asia,Front,"$17,640","$16,444",2.5,4,165,14,11,2761,100,178
Subaru,Impreza 2.5 RS 4dr,Sedan,Asia,All,"$19,945","$18,399",2.5,4,165,14,11,2965,99,174
Subaru,Legacy L 4dr,Sedan,Asia,All,"$20,445","$18,713",2.5,4,165,14,11,3285,104,184
Subaru,Legacy GT 4dr,Sedan,Asia,All,"$25,645","$23,336",2.5,4,165,14,11,3395,104,184
Subaru,Outback Limited Sedan 4dr,Sedan,Asia,All,"$27,145","$24,687",2.5,4,165,14,11,3495,104,184
Subaru,Baja,Truck,Asia,All,"$24,520","$22,304",2.5,4,165,14,11,3485,104,193
Subaru,Forester X,Wagon,Asia,All,"$21,445","$19,646",2.5,4,165,15,12,3090,99,175
Subaru,Outback,Wagon,Asia,All,"$23,895","$21,773",2.5,4,165,15,12,3430,104,187
Suzuki,Vitara LX,SUV,Asia,All,"$17,163","$16,949",2.5,6,165,15,12,3020,98,163
Mercedes-Benz,C240 4dr,Sedan,Europe,Rear,"$32,280","$30,071",2.6,6,168,14,11,3360,107,178
Mercedes-Benz,C240 4dr,Sedan,Europe,All,"$33,480","$31,187",2.6,6,168,14,11,3360,107,178
Mercedes-Benz,C240,Wagon,Europe,Rear,"$33,780","$31,466",2.6,6,168,14,11,3470,107,179
Audi,A4 1.8T 4dr,Sedan,Europe,Front,"$25,940","$23,508",1.8,4,170,13,10,3252,104,179
Audi,A41.8T convertible 2dr,Sedan,Europe,Front,"$35,940","$32,506",1.8,4,170,12,10,3638,105,180
Ford,Focus SVT 2dr,Sedan,USA,Front,"$19,135","$17,878",2,4,170,11,9,2750,103,168
Hyundai,Sonata GLS 4dr,Sedan,Asia,Front,"$19,339","$17,574",2.7,6,170,14,11,3217,106,187
Hyundai,Sonata LX 4dr,Sedan,Asia,Front,"$20,339","$18,380",2.7,6,170,15,12,3217,106,187
Kia,Optima LX V6 4dr,Sedan,Asia,Front,"$18,435","$16,850",2.7,6,170,15,12,3279,106,186
Oldsmobile,Alero GLS 2dr,Sedan,USA,Front,"$23,675","$21,485",3.4,6,170,14,11,3085,107,187
Volkswagen,Passat GLS 4dr,Sedan,Europe,Front,"$23,955","$21,898",1.8,4,170,8,6,3241,106,185
Volkswagen,Passat GLS 1.8T,Wagon,Europe,Front,"$24,955","$22,801",1.8,4,170,9,7,3338,106,184
Volvo,S40 4dr,Sedan,Europe,Front,"$25,135","$23,701",1.9,4,170,13,10,2767,101,178
Volvo,V40,Wagon,Europe,Front,"$26,135","$24,641",1.9,4,170,13,10,2822,101,180
Hyundai,Tiburon GT V6 2dr,Sports,Asia,Front,"$18,739","$17,101",2.7,6,172,15,12,3023,100,173
Hyundai,Santa Fe GLS,SUV,Asia,Front,"$21,589","$20,201",2.7,6,173,15,12,3549,103,177
Land Rover,Freelander SE,SUV,Europe,All,"$25,995","$23,969",2.5,6,174,11,9,3577,101,175
Buick,Century Custom 4dr,Sedan,USA,Front,"$22,180","$20,351",3.1,6,175,15,12,3353,109,195
Chevrolet,Colorado Z85,Truck,USA,All,"$18,760","$17,070",2.8,4,175,15,12,3623,111,192
GMC,Canyon Z85 SL Regular Cab,Truck,USA,Rear,"$16,530","$14,877",2.8,4,175,15,12,3351,111,192
Nissan,Altima S 4dr,Sedan,Asia,Front,"$19,240","$18,030",2.5,4,175,14,11,3039,110,192
Pontiac,Grand Am GT 2dr,Sedan,USA,Front,"$22,450","$20,595",3.4,6,175,14,11,3118,107,186
Audi,TT 1.8 convertible 2dr (coupe),Sports,Europe,Front,"$35,940","$32,512",1.8,4,180,12,10,3131,95,159
Chevrolet,Impala 4dr,Sedan,USA,Front,"$21,900","$20,095",3.4,6,180,14,11,3465,111,200
Chevrolet,Monte Carlo LS 2dr,Sedan,USA,Front,"$21,825","$20,026",3.4,6,180,15,12,3340,111,198
Chrysler,Town and Country LX,Sedan,USA,Front,"$27,490","$25,371",3.3,6,180,15,12,4068,119,201
Nissan,Xterra XE V6,SUV,Asia,Front,"$20,939","$19,512",3.3,6,180,15,12,3760,104,178
Nissan,Frontier King Cab XE V6,Truck,Asia,All,"$19,479","$18,253",3.3,6,180,15,12,3932,116,191
Toyota,Celica GT-S 2dr,Sports,Asia,Front,"$22,570","$20,363",1.8,4,180,12,10,2500,102,171
Volkswagen,GTI 1.8T 2dr hatch,Sedan,Europe,Front,"$19,825","$18,109",1.8,4,180,9,7,2934,99,168
Saturn,L300-2 4dr,Sedan,USA,Front,"$21,410","$19,801",3,6,182,12,10,3197,107,190
BMW,325i 4dr,Sedan,Europe,Rear,"$28,495","$26,155",2.5,6,184,14,11,3219,107,176
BMW,325Ci 2dr,Sedan,Europe,Rear,"$30,795","$28,245",2.5,6,184,14,11,3197,107,177
BMW,325Ci convertible 2dr,Sedan,Europe,Rear,"$37,995","$34,800",2.5,6,184,14,11,3560,107,177
BMW,325xi 4dr,Sedan,Europe,All,"$30,245","$27,745",2.5,6,184,14,11,3461,107,176
BMW,525i 4dr,Sedan,Europe,Rear,"$39,995","$36,620",2.5,6,184,14,11,3428,114,191
BMW,Z4 convertible 2.5i 2dr,Sports,Europe,Rear,"$33,895","$31,065",2.5,6,184,15,12,2932,98,161
BMW,325xi Sport,Wagon,Europe,All,"$32,845","$30,110",2.5,6,184,15,11,3594,107,176
Buick,Rendezvous CX,SUV,USA,Front,"$26,545","$24,085",3.4,6,185,14,10,4024,112,187
Chevrolet,Venture LS,Sedan,USA,Front,"$27,020","$24,518",3.4,6,185,14,10,3699,112,187
Oldsmobile,Silhouette GL,Sedan,USA,Front,"$28,790","$26,120",3.4,6,185,15,11,3948,120,201
,,,,,,,,,,,,,,
Pontiac,Aztekt,SUV,USA,Front,"$21,595","$19,810",3.4,6,185,15,11,3779,108,182
Pontiac,Montana,Sedan,USA,Front,"$23,845","$21,644",3.4,6,185,15,11,3803,112,187
Pontiac,Montana EWB,Sedan,USA,All,"$31,370","$28,454",3.4,6,185,15,11,4431,121,201
Suzuki,XL-7 EX,SUV,Asia,Front,"$23,699","$22,307",2.7,6,185,14,10,3682,110,187
Mercedes-Benz,C230 Sport 2dr,Sedan,Europe,Rear,"$26,060","$24,249",1.8,4,189,9,6,3250,107,178
Chevrolet,Astro,Sedan,USA,All,"$26,395","$23,954",4.3,6,190,17,12,4605,111,190
GMC,Safari SLE,Sedan,USA,Rear,"$25,640","$23,215",4.3,6,190,17,12,4309,111,190
GMC,Sonoma Crew Cab,Truck,USA,All,"$25,395","$23,043",4.3,6,190,17,12,4083,123,208
Jeep,Wrangler Sahara convertible 2dr,SUV,USA,All,"$25,520","$23,275",4,6,190,17,12,3575,93,150
Toyota,Tundra Regular Cab V6,Truck,Asia,Rear,"$16,495","$14,978",3.4,6,190,15,11,3925,128,218
Toyota,Tundra Access Cab V6 SR5,Truck,Asia,All,"$25,935","$23,520",3.4,6,190,15,11,4435,128,218
Volkswagen,Passat GLX V6 4MOTION 4dr,Sedan,Europe,Front,"$33,180","$30,583",2.8,6,190,15,11,3721,106,185
Jaguar,X-Type 2.5 4dr,Sedan,Europe,All,"$29,995","$27,355",2.5,6,192,12,8,3428,107,184
Kia,Sorento LX,SUV,Asia,Front,"$19,635","$18,630",3.5,6,192,15,11,4112,107,180
Mercedes-Benz,SLK230 convertible 2dr,Sports,Europe,Rear,"$40,320","$37,548",2.3,4,192,11,8,3055,95,158
Ford,Freestar SE,Sedan,USA,Front,"$26,930","$24,498",3.9,6,193,17,12,4275,121,201
Ford,Mustang 2dr (convertible),Sports,USA,Rear,"$18,345","$16,943",3.8,6,193,16,11,3290,101,183
Isuzu,Rodeo S,SUV,Asia,Front,"$20,449","$19,261",3.2,6,193,12,8,3836,106,178
Hyundai,XG350 4dr,Sedan,Asia,Front,"$24,589","$22,055",3.5,6,194,15,11,3651,108,192
Hyundai,XG350 L 4dr,Sedan,Asia,Front,"$26,189","$23,486",3.5,6,194,15,11,3651,108,192
Volvo,S80 2.5T 4dr,Sedan,Europe,All,"$37,885","$35,688",2.5,5,194,14,10,3691,110,190
Jeep,Grand Cherokee Laredo,SUV,USA,Front,"$27,905","$25,686",4,6,195,17,12,3790,106,181
Kia,Amanti 4dr,Sedan,Asia,Front,"$26,000","$23,764",3.5,6,195,15,11,4021,110,196
Kia,Sedona LX,Sedan,Asia,Front,"$20,615","$19,400",3.5,6,195,15,11,4802,115,194
Mazda,RX-8 4dr automatic,Sports,Asia,Rear,"$25,700","$23,794",1.3,,197,9,6,3053,106,174
Volvo,C70 LPT convertible 2dr,Sedan,Europe,Front,"$40,565","$38,203",2.4,5,197,15,11,3450,105,186
Acura,RSX Type S 2dr,Sedan,Asia,Front,"$23,820","$21,761",2,4,200,13,9,2778,101,172
Acura,TSX 4dr,Sedan,Asia,Front,"$26,990","$24,647",2.4,4,200,16,11,3230,105,183
Buick,Regal LS 4dr,Sedan,USA,Front,"$24,895","$22,835",3.8,6,200,16,11,3461,109,196
Chevrolet,Malibu LS 4dr,Sedan,USA,Front,"$20,370","$18,639",3.5,6,200,15,11,3297,106,188
Chevrolet,Impala LS 4dr,Sedan,USA,Front,"$25,000","$22,931",3.8,6,200,16,11,3476,111,200
Chevrolet,Malibu LT 4dr,Sedan,USA,Front,"$23,495","$21,551",3.5,6,200,15,11,3315,106,188
Chevrolet,Monte Carlo SS 2dr,Sedan,USA,Front,"$24,225","$22,222",3.8,6,200,16,11,3434,111,198
Chevrolet,Silverado 1500 Regular Cab,Truck,USA,Rear,"$20,310","$18,480",4.3,6,200,18,13,4142,119,206
Chevrolet,Malibu Maxx LS,Wagon,USA,Front,"$22,225","$20,394",3.5,6,200,15,11,3458,112,188
Chrysler,Sebring Touring 4dr,Sedan,USA,Front,"$21,840","$20,284",2.7,6,200,15,11,3222,108,191
Chrysler,Concorde LX 4dr,Sedan,USA,Front,"$24,130","$22,452",2.7,6,200,15,11,3479,113,208
Chrysler,Sebring Limited convertible 2dr,Sedan,USA,Front,"$30,950","$28,613",2.7,6,200,15,11,3448,106,194
Dodge,Intrepid SE 4dr,Sedan,USA,Front,"$22,035","$20,502",2.7,6,200,15,11,3469,113,204
Mazda,MPV ES,Sedan,Asia,Front,"$28,750","$26,600",3,6,200,12,8,3812,112,188
Pontiac,Grand Prix GT1 4dr,Sedan,USA,Front,"$22,395","$20,545",3.8,6,200,16,11,3477,111,198
Pontiac,Grand Prix GT2 4dr,Sedan,USA,Front,"$24,295","$22,284",3.8,6,200,16,11,3484,111,198
Volkswagen,Jetta GLI VR6 4dr,Sedan,Europe,Front,"$23,785","$21,686",2.8,6,200,16,11,3179,99,172
Ford,Escape XLS,SUV,USA,All,"$22,515","$20,907",3,6,201,12,8,3346,103,173
Ford,Taurus SES Duratec 4dr,Sedan,USA,Front,"$22,735","$20,857",3,6,201,12,8,3313,109,198
Mercury,Sable LS Premium 4dr,Sedan,USA,Front,"$23,895","$21,918",3,6,201,12,8,3315,109,200
Mercury,Monterey Luxury,Sedan,USA,Front,"$33,995","$30,846",4.2,6,201,16,11,4340,121,202
Buick,LeSabre Custom 4dr,Sedan,USA,Front,"$26,470","$24,282",3.8,6,205,16,11,3567,112,200
Buick,LeSabre Limited 4dr,Sedan,USA,Front,"$32,245","$29,566",3.8,6,205,17,10,3591,112,200
Buick,Park Avenue 4dr,Sedan,USA,Front,"$35,545","$32,244",3.8,6,205,17,10,3778,114,207
Mitsubishi,Diamante LS 4dr,Sedan,Asia,Front,"$29,282","$27,250",3.5,6,205,15,9,3549,107,194
Mazda,B4000 SE Cab Plus,Truck,Asia,All,"$22,350","$20,482",4,6,207,18,11,3571,126,203
Volvo,S60 2.5 4dr,Sedan,Europe,All,"$31,745","$29,916",2.5,5,208,15,9,3903,107,180
Volvo,S80 2.9 4dr,Sedan,Europe,Front,"$37,730","$35,542",2.9,6,208,16,10,3576,110,190
Volvo,XC70,Wagon,Europe,All,"$35,145","$33,112",2.5,5,208,14,8,3823,109,186
Dodge,Dakota Regular Cab,Truck,USA,Rear,"$17,630","$16,264",3.7,6,210,16,10,3714,112,193
Dodge,Dakota Club Cab,Truck,USA,Rear,"$20,300","$18,670",3.7,6,210,17,10,3829,131,219
Ford,Explorer XLT V6,SUV,USA,All,"$29,670","$26,983",4,6,210,18,11,4463,114,190
Mercury,Mountaineer,SUV,USA,Front,"$29,995","$27,317",4,6,210,18,11,4374,114,190
Mitsubishi,Eclipse GTS 2dr,Sports,Asia,Front,"$25,092","$23,456",3,6,210,13,8,3241,101,177
Mitsubishi,Eclipse Spyder GT convertible 2dr,Sports,Asia,Front,"$26,992","$25,218",3,6,210,13,8,3296,101,177
Saab,9-3 Arc Sport 4dr,Sedan,Europe,Front,"$30,860","$29,269",2,4,210,12,7,3175,105,183
Saab,9-3 Aero 4dr,Sedan,Europe,Front,"$33,360","$31,562",2,4,210,12,7,3175,105,183
Saab,9-3 Arc convertible 2dr,Sedan,Europe,Front,"$40,670","$38,520",2,4,210,12,7,3480,105,182
Saab,9-3 Aero convertible 2dr,Sedan,Europe,Front,"$43,175","$40,883",2,4,210,12,7,3700,105,182
Toyota,Camry LE V6 4dr,Sedan,Asia,Front,"$22,775","$20,325",3,6,210,13,8,3296,107,189
Toyota,Avalon XL 4dr,Sedan,Asia,Front,"$26,560","$23,693",3,6,210,13,8,3417,107,192
Toyota,Camry XLE V6 4dr,Sedan,Asia,Front,"$25,920","$23,125",3,6,210,13,8,3362,107,189
Toyota,Avalon XLS 4dr,Sedan,Asia,Front,"$30,920","$27,271",3,6,210,13,8,3439,107,192
Subaru,Outback H6 4dr,Sedan,Asia,All,"$29,345","$26,660",3,6,212,13,8,3610,104,184
Subaru,Outback H-6 VDC 4dr,Sedan,Asia,All,"$31,545","$28,603",3,6,212,13,8,3630,104,184
Chrysler,Town and Country Limited,Sedan,USA,Front,"$38,380","$35,063",3.8,6,215,17,10,4331,119,201
Chrysler,Crossfire 2dr,Sports,USA,Rear,"$34,495","$32,033",3.2,6,215,14,8,3060,95,160
Dodge,Grand Caravan SXT,Sedan,USA,All,"$32,660","$29,812",3.8,6,215,17,10,4440,119,201
Dodge,Ram 1500 Regular Cab ST,Truck,USA,Rear,"$20,215","$18,076",3.7,6,215,17,10,4542,121,208
Lexus,IS 300 4dr manual,Sedan,Asia,Rear,"$31,045","$27,404",3,6,215,13,8,3255,105,177
Lexus,IS 300 4dr auto,Sedan,Asia,Rear,"$32,415","$28,611",3,6,215,12,7,3285,105,177
Lexus,IS 300 SportCross,Wagon,Asia,Rear,"$32,455","$28,647",3,6,215,12,7,3410,105,177
Mercedes-Benz,C320 Sport 2dr,Sedan,Europe,Rear,"$28,370","$26,435",3.2,6,215,12,7,3430,107,178
Mercedes-Benz,C320 Sport 4dr,Sedan,Europe,Rear,"$35,920","$33,456",3.2,6,215,13,8,3430,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,Rear,"$37,630","$35,046",3.2,6,215,13,8,3450,107,178
Mercedes-Benz,C320 4dr,Sedan,Europe,All,"$38,830","$36,162",3.2,6,215,13,8,3450,107,178
Mercedes-Benz,CLK320 coupe 2dr (convertible),Sedan,Europe,Rear,"$45,707","$41,966",3.2,6,215,14,8,3770,107,183
Mitsubishi,Endeavor XLS,SUV,Asia,All,"$30,492","$28,330",3.8,6,215,17,10,4134,109,190
Mitsubishi,Montero XLS,SUV,Asia,All,"$33,112","$30,763",3.8,6,215,17,10,4718,110,190
Land Rover,Discovery SE,SUV,Europe,All,"$39,250","$35,777",4.6,8,217,16,10,4576,100,185
